"","x"
"1",853.7
"2",1148.55
"3",681.714
"4",851.529
"5",503.055
"6",557.42
"7",675.598
"8",733.548
"9",547.581
"10",608.659
"11",1241.05
"12",661.41
"13",794.587
"14",1070.12
"15",838.866
"16",754.848
"17",828.352
"18",957.864
"19",1024.69
"20",1389.73
"21",1006.83
"22",559.618
"23",552.179
"24",640.824
"25",563.044
"26",1237.25
"27",881.564
"28",620.6
"29",446.959
"30",878.541
"31",527.838
"32",553.012
"33",616.628
"34",817.331
"35",1070.23
"36",697.384
"37",537.009
"38",798.501
"39",619.618
"40",842.39
"41",576.992
"42",787.758
"43",801.869
"44",665.758
"45",979.193
"46",1533.79
"47",977.739
"48",620.304
"49",570.714
"50",985.175
"51",1163
"52",651.659
"53",452.137
"54",988.213
"55",716.988
"56",478.161
"57",869.232
"58",854.207
"59",690.484
"60",932.839
"61",716.021
"62",501.391
"63",754.399
"64",549.161
"65",716.383
"66",1069.39
"67",753.364
"68",913.664
"69",558.19
"70",1052.8
"71",766.594
"72",432.437
"73",573.866
"74",701.806
"75",553.624
"76",879.548
"77",708.299
"78",621.623
"79",998.981
"80",1137.94
"81",590.991
"82",826.073
"83",1033.57
"84",662.806
"85",978.423
"86",637.073
"87",937.556
"88",919.503
"89",671.146
"90",438.944
"91",637.728
"92",766.718
"93",766.371
"94",664.289
"95",1039.71
"96",840.586
"97",730.932
"98",854.067
"99",1087.45
"100",588.668
