"";"hgt1j";"hgt2j";"hgt3j";"hgt4j";"hgt5j";"hgt6j";"hgt7j";"hgt8j";"hgt9j";"hgt10j";"hgt11j";"hgt12j";"hgt13j";"hgt14j";"hgt15j";"hgt16j"
"1";0;99.1319444444444;99.5425667090216;99.5555555555556;98.9380530973451;99.3988578298768;99.5517979015993;99.5555555555556;99.5128326996198;97.8723404255319;94.7368421052632;99.1798236620874;97.2527472527473;97.926267281106;99.5623855078364;99.5695538057743
"2";99.1319444444444;0;91.4803625377643;88.7070707070707;88.0666666666667;86.3164056783258;88.6456211812627;88.7070707070707;88.1600563248064;100;99.3897122929381;86.6843200302629;98.3883964544722;96.379781420765;88.688841419998;88.7378437728746
"3";99.5425667090216;91.4803625377643;0;20.5858585858586;79.4798377475543;43.5532557136697;21.3520614389652;20.5858585858586;31.3820969747203;99.9618466234262;99.6187086934418;58.3426028921023;98.606713109563;96.2446621451897;20.9455355335088;23.0996234863132
"4";99.5555555555556;88.7070707070707;20.5858585858586;0;77.3737373737374;32.8282828282828;0.838383838383838;0;15.020202020202;99.959595959596;99.6363636363636;50.7777777777778;98.5555555555556;95.969696969697;0.757575757575757;3.81818181818182
"5";98.9380530973451;88.0666666666667;79.4798377475543;77.3737373737374;0;71.4389009399855;77.3323837623359;77.3737373737374;76.6014131819761;99.8214285714286;98.3928571428572;74.4617013766325;93.6160714285714;82.1875;77.3632852205733;77.4664027502865
"6";99.3988578298768;86.3164056783258;43.5532557136697;32.8282828282828;71.4389009399855;0;32.6184183777191;32.8282828282828;36.4495114006515;99.9398496240601;99.4586466165414;50.7190050524679;98.1100944952752;94.5707448399641;33.1645569620253;33.6727347526484
"7";99.5517979015993;88.6456211812627;21.3520614389652;0.838383838383838;77.3323837623359;32.6184183777191;0;0.838383838383838;15.2427282862065;99.9592543546908;99.6332891922176;50.4682410423453;98.5433431801976;95.9568184132804;1.5959595959596;4.61709436249748
"8";99.5555555555556;88.7070707070707;20.5858585858586;0;77.3737373737374;32.8282828282828;0.838383838383838;0;15.020202020202;99.959595959596;99.6363636363636;50.7777777777778;98.5555555555556;95.969696969697;0.757575757575757;3.81818181818182
"9";99.5128326996198;88.1600563248064;31.3820969747203;15.020202020202;76.6014131819761;36.4495114006515;15.2427282862065;15.020202020202;0;99.9524545346488;99.5720908118388;51.5364845234104;98.4692061231755;95.740653099858;15.535551734601;17.71521496087
"10";97.8723404255319;100;99.9618466234262;99.959595959596;99.8214285714286;99.9398496240601;99.9592543546908;99.959595959596;99.9524545346488;0;88.8888888888889;99.9179150420685;97.9166666666667;99.25;99.9592875318066;99.9579920184835
"11";94.7368421052632;99.3897122929381;99.6187086934418;99.6363636363636;98.3928571428572;99.4586466165414;99.6332891922176;99.6363636363636;99.5720908118388;88.8888888888889;0;99.2612353786169;95.3216374269006;96.18138424821;99.6335877862595;99.6430071398572
"12";99.1798236620874;86.6843200302629;58.3426028921023;50.7777777777778;74.4617013766325;50.7190050524679;50.4682410423453;50.7777777777778;51.5364845234104;99.9179150420685;99.2612353786169;0;97.9035212700997;94.3486973947896;50.9481796977994;54.3311070633475
"13";97.2527472527473;98.3883964544722;98.606713109563;98.5555555555556;93.6160714285714;98.1100944952752;98.5433431801976;98.5555555555556;98.4692061231755;97.9166666666667;95.3216374269006;97.9035212700997;0;64.1604010025063;98.5445292620865;98.5621326616289
"14";97.926267281106;96.379781420765;96.2446621451897;95.969696969697;82.1875;94.5707448399641;95.9568184132804;95.969696969697;95.740653099858;99.25;96.18138424821;94.3486973947896;64.1604010025063;0;95.970695970696;96.0062893081761
"15";99.5623855078364;88.688841419998;20.9455355335088;0.757575757575757;77.3632852205733;33.1645569620253;1.5959595959596;0.757575757575757;15.535551734601;99.9592875318066;99.6335877862595;50.9481796977994;98.5445292620865;95.970695970696;0;4.51652015762353
"16";99.5695538057743;88.7378437728746;23.0996234863132;3.81818181818182;77.4664027502865;33.6727347526484;4.61709436249748;3.81818181818182;17.71521496087;99.9579920184835;99.6430071398572;54.3311070633475;98.5621326616289;96.0062893081761;4.51652015762353;0
